Keywords	Subject
computer science miríada x software libre y conocimiento en abierto	Computer Science
computer networking edx inf202x microsoft enterprise mobility suite	Computer Networking
algorithms data structures coursera general game playing	Algorithms and Data Structures
cybersecurity coursera secure networked system firewall ids	Cybersecurity
foreign language futurelearn malay language	Foreign Language
history futurelearn history royal food feasting	History
history nptel ancient indian technology	History
history futurelearn exploring english magna carta	History
history futurelearn holocaust part 2	History
urban planning governance disaster risk	Urban Planning
anthropology futurelearn from ink sound decoding musical manuscripts	Anthropology
anthropology futurelearn archaeology portus exploring lost harbour ancient rome	Anthropology
economics coursera country level economics part 2	Economics
sociology edx human population dynamics births, deaths migrations	Sociology
urban planning miríada x gestión del agua introducción al tratamiento de aguas residuales/ water management treatment urban sewage	Urban Planning
education & teaching coursera 网络课程与学习评价	Education & Teaching
career development coursera career planning pathway employment	Career Development
psychology canvas network science relationships	Psychology
education & teaching online safety course	Education & Teaching
stem emma coding your classroom, now!	STEM
software development kadenze advanced audio plugin development	Software Development
software development miríada x gestión de proyectos software con git y github	Software Development
programming languages kadenze real-time audio signal processing faust	Programming Languages
game development kadenze digital game design into silent water, under rocks stones	Game Development
game development kadenze digital game design here comes twister	Game Development
web development udacity make your own 2048	Web Development
databases udacity data wrangling mongodb	Databases
programming kadenze intro audio plugin design development	Programming
programming languages python everybody exploring information	Programming Languages
game development kadenze digital game design you may ask yourself, “well, did i here?”	Game Development
web development udacity responsive web design fundamentals	Web Development
web development coursera responsive website basics code html, css, javascript	Web Development
programming edx html5 coding essentials best practices	Programming
programming udacity programming languages	Programming
programming languages udacity object-oriented javascript	Programming Languages
disease & disorders understanding dementia	Disease & Disorders
web development open2study user experience web	Web Development
web development edx bootstrap – tutorial	Web Development
android development udacity developing android apps	Android Development
programming languages coursera programming foundations javascript, html css	Programming Languages
programming languages udacity programming foundations python	Programming Languages
databases stanford openedx db databases	Databases
programming edx programming basics	Programming
programming edx functional programming	Programming
android development udacity android development beginners	Android Development
web development coursera responsive web design	Web Development
mobile development coursera creative programming digital media & mobile apps	Mobile Development
game development coursera game development	Game Development
programming languages udacity javascript basics	Programming Languages
programming languages coursera programming languages, part	Programming Languages
programming open2study concepts game development	Programming
web development udacity web development	Web Development
web development edx agile development using ruby rails basics	Web Development
programming languages coursera java programming solving problems software	Programming Languages
android development coursera programming mobile applications android handheld systems part 1	Android Development
programming coursera c++ c programmers, part	Programming
web development canvas network professional web accessibility auditing made easy	Web Development
programming languages open education by blackboard vba/excel programming	Programming Languages
web development udacity intro html css	Web Development
web development coursera html5	Web Development
programming languages coursera interactive programming python (part 2)	Programming Languages
programming complexity explorer agent-based modeling	Programming
web development coursera ruby rails	Web Development
programming coursera learn program fundamentals	Programming
programming languages coursera programming matlab	Programming Languages
communication skills coursera speaking persuade motivating audiences solid arguments moving language	Communication Skills
career development coursera interview research preparation	Career Development
career development coursera writing winning resumes cover letters	Career Development
personal development coursera creativity toolkit ii creative collaboration	Personal Development
personal development coursera психология призвания	Personal Development
databases coursera using databases python	Databases
communication skills nptel speaking effectively	Communication Skills
career development coursera land job you want (capstone project)	Career Development
communication skills coursera presentation skills public speaking project	Communication Skills
career development coursera networking volunteerism career success	Career Development
communication skills coursera las estrategias y habilidades para las negociaciones	Communication Skills
career development coursera strategic career self-management	Career Development
communication skills coursera introducción al mundo de las negociaciones	Communication Skills
communication skills coursera 職場素養 (professionalism)	Communication Skills
communication skills coursera presentation skills designing presentation slides	Communication Skills
communication skills coursera translation practice	Communication Skills
programming languages coursera using python access web data	Programming Languages
personal development coursera arts science relationships understanding human needs	Personal Development
programming coursera interactive programming python (part 1)	Programming
career development coursera digital footprint	Career Development
career development coursera advanced interviewing techniques	Career Development
programming languages coursera python data structures	Programming Languages
personal development coursera designing your personal weight loss plan	Personal Development
communication skills coursera engaging persuasive credible communication	Communication Skills
programming coursera programming everybody (getting python)	Programming
career development futurelearn digital skills retail	Career Development
higher education coursera leading equity, diversity inclusion higher education	Higher Education
k12 futurelearn teaching physical computing raspberry pi python	K12
test prep edx ielts academic test preparation	Test Prep
teacher development futurelearn becoming better teacher exploring professional development	Teacher Development
test prep edx ap® spanish language culture	Test Prep
course development mooc-ed teaching mathematics technology	Course Development
teacher development futurelearn exploring world english language teaching	Teacher Development
course development coursera teach english now! technology enriched teaching	Course Development
education & teaching coursera teaching tips tricky english grammar	Education & Teaching
higher education coursera critical thinking skills university success	Higher Education
course development canvas network gestión de objetos de aprendizaje digitales	Course Development
higher education canvas network (he) applying & leading assessment student affairs	Higher Education
education & teaching coursera aboriginal worldviews education	Education & Teaching
stem mooc-ed teaching statistics through data investigations	STEM
